Plante;RangPhyto;NbFoliolesParFeuil;LendFin;FolAFin;AppFeuil_SdjDeb
2;1;0;1;0;31.9187169
2;2;0;2;0;33.8468667
2;3;0;7;0;35.7750165
2;4;5;7;12.21919274;37.7031663
2;5;5;10.27616915;36.14471478;39.6313161
2;6;5;12.1021774;51.78181751;41.55946589
2;7;5;14.63757296;47.1613238;50.13925268
2;8;7;18.33381171;47.87820038;92.49751846
2;9;7;19.75032503;52.12156497;134.8557843
2;10;7;29.59766329;60.45275835;177.21405
2;11;7;31.38172143;60.18755147;219.5723158
2;12;6;29.20128882;63.60045798;261.9305816
2;13;4;26.93732063;65.45806667;304.2888474
2;14;3;22.19739404;58.09566065;346.6471132
2;15;1;30;50.53088957;389.005379
2;16;0;43.36000288;0;431.3636448
28;1;0;1;0;0.00
28;2;0;1;0;0.00
28;3;0;3;0;0.00
28;4;0;11.27042884;0;0.00
28;5;5;12.52623015;31.60014601;0.00
28;6;5;19.47632139;54.40027126;4.173364478
28;7;5;22.28103038;61.13498572;47.83551585
28;8;5;36.93544971;62.21831142;91.49766721
28;9;4;22.59415808;76.49590387;135.1598186
28;10;0;62.78777335;0;178.82197
