Plante;RangPhyto;NbFoliolesParFeuil;LendFin;FolAFin;AppFeuil_SdjDeb
2;1;0;1;0;31.9187169
2;2;0;2;0;33.8468667
2;3;0;7;0;35.7750165
2;4;5;7;12.21919274;37.7031663
2;5;5;10.27616915;36.14471478;39.6313161
2;6;5;12.1021774;51.78181751;41.55946589
2;7;5;14.63757296;47.1613238;50.13925268
2;8;7;18.33381171;47.87820038;92.49751846
2;9;7;19.75032503;52.12156497;134.8557843
2;10;7;29.59766329;60.45275835;177.21405
2;11;7;31.38172143;60.18755147;219.5723158
2;12;6;29.20128882;63.60045798;261.9305816
2;13;4;26.93732063;65.45806667;304.2888474
2;14;3;22.19739404;58.09566065;346.6471132
2;15;1;30;50.53088957;389.005379
2;16;0;43.36000288;0;431.3636448
28;1;0;1;0;0.00
28;2;0;1;0;0.00
28;3;0;3;0;0.00
28;4;0;11.27042884;0;0.00
28;5;5;12.52623015;31.60014601;0.00
28;6;5;19.47632139;54.40027126;4.173364478
28;7;5;22.28103038;61.13498572;47.83551585
28;8;5;36.93544971;62.21831142;91.49766721
28;9;4;22.59415808;76.49590387;135.1598186
28;10;0;62.78777335;0;178.82197
37;1;0;1;0;55.35814023
37;2;0;1;0;55.35814045
37;3;0;1;0;55.35814067
37;4;0;2;0;55.3581409
37;5;0;6.024389904;0;55.35814112
37;6;6;8;8.131255812;55.35814134
37;7;5;10.62476201;39.21029982;55.35814156
37;8;5;11.13271429;51.88567413;81.9864372
37;9;6;17.7772094;49.0826456;127.7693658
37;10;7;23.28085876;60.79371221;173.5522945
37;11;7;37.16408287;61.91913419;219.3352231
37;12;5;33.40886179;57.95450104;265.1181518
37;13;5;28.76908153;65.0661324;310.9010804
37;14;3;25.9702126;53.89820272;356.6840091
37;15;1;35;29.01781912;402.4669377
37;16;0;45.88567217;0;448.2498663
54;1;0;0.5;0;22.22329739
54;2;0;1;0;22.22329752
54;3;0;3;0;22.22329764
54;4;0;6;0;22.22329777
54;5;0;15;0;22.22329789
54;6;0;15.13836676;0;22.22329802
54;7;5;13.59094598;50.74219363;32.37279096
54;8;5;17.05037523;65;57.17893449
54;9;5;17.06536393;79.15692889;81.98507803
54;10;3;30.74232866;75.00697238;106.7912216
54;11;1;3.357495703;66.91796909;131.5973651
54;12;0;61.18654373;0;156.4035087
118;1;0;1;0;48.53550177
